,Activation,Learning_Rate,Max_Iterations,Hidden_Layers,Accuracy_train,MSE_train,Accuracy_test,MSE_test
1,logistic,0.01,100,2,0.9930761622156281,0.006923837784371909,0.9910979228486647,0.008902077151335312
2,logistic,0.01,100,3,0.9960435212660732,0.003956478733926805,0.9910979228486647,0.008902077151335312
3,logistic,0.01,200,2,0.9990108803165183,0.0009891196834817012,0.9910979228486647,0.008902077151335312
4,logistic,0.01,200,3,0.9940652818991098,0.005934718100890208,0.9940652818991098,0.005934718100890208
5,logistic,0.1,100,2,1.0,0.0,0.9970326409495549,0.002967359050445104
6,logistic,0.1,100,3,1.0,0.0,0.9910979228486647,0.008902077151335312
7,logistic,0.1,200,2,1.0,0.0,1.0,0.0
8,logistic,0.1,200,3,1.0,0.0,0.9970326409495549,0.002967359050445104
9,tanh,0.01,100,2,0.9950544015825915,0.004945598417408506,0.9910979228486647,0.008902077151335312
10,tanh,0.01,100,3,0.9970326409495549,0.002967359050445104,0.9940652818991098,0.005934718100890208
11,tanh,0.01,200,2,1.0,0.0,0.9970326409495549,0.002967359050445104
12,tanh,0.01,200,3,1.0,0.0,0.9970326409495549,0.002967359050445104
13,tanh,0.1,100,2,1.0,0.0,0.9970326409495549,0.002967359050445104
14,tanh,0.1,100,3,1.0,0.0,0.9940652818991098,0.005934718100890208
15,tanh,0.1,200,2,1.0,0.0,0.9970326409495549,0.002967359050445104
16,tanh,0.1,200,3,1.0,0.0,0.9970326409495549,0.002967359050445104
17,relu,0.01,100,2,1.0,0.0,0.9970326409495549,0.002967359050445104
18,relu,0.01,100,3,0.9990108803165183,0.0009891196834817012,0.9970326409495549,0.002967359050445104
19,relu,0.01,200,2,1.0,0.0,1.0,0.0
20,relu,0.01,200,3,0.5588526211671613,0.4411473788328388,0.5133531157270029,0.486646884272997
21,relu,0.1,100,2,1.0,0.0,0.9970326409495549,0.002967359050445104
22,relu,0.1,100,3,1.0,0.0,1.0,0.0
23,relu,0.1,200,2,1.0,0.0,1.0,0.0
24,relu,0.1,200,3,1.0,0.0,0.9940652818991098,0.005934718100890208
